word_en,word_fr,concept_id
ballet,ballet,n07054336
balletomane,balletomane,n09835153
ballottement,ballottement,n00144182
baluster,balustre,n02783994
balustrade,balustrade,n02788148
banal,banal,a01688757
banality,banalité,n07154046
bandage,bandage,n02785648
bandage,bandage,v00083124
banker,banquier,n09837720
banker,banquier,n09837824
banneret,banneret,n10238898
barbecue,barbecue,n02790669
barbecue,barbecue,n07576781
barbecue,barbecue,n07654148
barbecue,barbecue,v00324806
barcarole,barcarolle,n07049931
barcarolle,barcarolle,n07049931
bard,barde,n02792305
bard,barde,n09839022
bard,barde,v01670315
barmaid,barmaid,n09839702
barman,barman,n09841188
baron,baron,n09840217
baroque,baroque,a02974023
baroque,baroque,n15259076
barrage,barrage,n07083441
barricade,barricade,n02796412
barricade,barricade,n04096848
barricade,barricade,v01127075
barricade,barricade,v01127215
baseball,baseball,n00471613
baseball,baseball,n02799071
basilar,basilaire,a02659733
basketball,basket,n00480993
basketball,basket,n02802426
basque,basque,n06966695
basque,basque,n09692250
bassoon,basson,n02804610
bastion,bastion,n02806088
bastion,bastion,n08064372
bathyscaphe,bathyscaphe,n02808829
batiste,batiste,n02809241
baud,baud,n13579679
bauxite,bauxite,n14668277
bay,baie,a00395977
bay,baie,n02388917
bay,baie,n02696048
bay,baie,n02812631
bay,baie,n02812785
bay,baie,n07376836
bay,baie,n09215664
bay,baie,n11704093
bay,baie,v01047951
bay,baie,v01048073
bazooka,bazooka,n02813752
beatify,béatifier,v00822912
beatify,béatifier,v01812068
beatify,béatifier,v01812324
beau geste,beau geste,n01228544
beaujolais,beaujolais,n07894102
beefsteak,bifteck,n07658168
begonia,bégonia,n12360108
beguine,béguine,n00535321
beguine,béguine,n07054994
beguine,béguine,n10602695
beignet,beignet,n07639716
belle,belle,n09849012
belles-lettres,belles-lettres,n06366269
benedictine,bénédictin,a03047501
benedictine,bénédictin,a03047611
benedictine,bénédictin,n07908812
benedictine,bénédictin,n10112434
berceuse,berceuse,n07051851
beret,béret,n02831237
bergamot,bergamote,n12708941
bestiary,bestiaire,n06412610
bestseller,best-seller,n06412497
bezique,bésigue,n00494100
bidet,bidet,n02836174
bigarade,bigarade,n12708654
bigot,bigot,n09853645
bigotry,bigoterie,n06206210
bijou,bijou,n02837702
bikini,bikini,n02837789
billion,billion,a02199342
billion,billion,a02199523
billion,billion,n13751829
billion,billion,n13752172
binocular,binoculaire,a02872265
biopsy,biopsie,n05740929
bisque,bisque,n07584332
bistre,bistre,n14843640
bistro,bistro,n02844214
bit,bit,n02844714
bit,bit,n07009042
bit,bit,n07309457
bit,bit,n13625237
bit,bit,n13761407
bizarre,bizarre,a00608791
blog,blog,n06402202
blues,blues,n07051185
blues,blues,n14404460
bluff,bluff,a00764301
bluff,bluff,a01145422
bluff,bluff,n00756598
bluff,bluff,n06759602
bluff,bluff,n09224725
bluff,bluff,v00837872
bluff,bluff,v01076953
bobbin,bobine,n02860415
boche,boche,n09748239
bodybuilding,bodybuilding,n00625993
bolide,bolide,n11484260
